Standardized_SMILES,CMPD_CHEMBLID,CANONICAL_SMILES,RELATION,STANDARD_VALUE,STANDARD_UNITS,PROTEIN_ACCESSION,PREF_NAME,PUBMED_ID,JOURNAL,YEAR,VOLUME,ISSUE,FIRST_PAGE,MOLWEIGHT,ALOGP,PSA,NUM_RO5_VIOLATIONS
COC1=CC=CC(=C1)C1=CC2=C(NC3=C2C=CC(=C3)C(=O)N2CCN(CC2)C(=O)C2CC2)C(=C1)C(N)=O,CHEMBL3646825,COc1cccc(c1)c2cc(C(=O)N)c3[nH]c4cc(ccc4c3c2)C(=O)N5CCN(CC5)C(=O)C6CC6,=,7,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,496.56,3.22,108.72,0
CC1(C)[C@H](O)CC[C@H]1NC1=C(C=NN2C=CC=C12)C(N)=O,CHEMBL3359913,CC1(C)[C@H](O)CC[C@H]1Nc2c(cnn3cccc23)C(=O)N,=,42,nM,O60674,Tyrosine-protein kinase JAK2,25453808,Bioorg. Med. Chem. Lett.,2014,24,24,5721,288.34,0.76,92.65,0
C[C@H](NC1=NC(NC2=NNC(C)=C2)=NC(N2CCOCC2)=C1F)C1=NC=C(F)C=N1,CHEMBL2381979,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)nc(N3CCOCC3)c1F)c4ncc(F)cn4,=,3,nM,O60674,Tyrosine-protein kinase JAK2,23562594,Bioorg. Med. Chem. Lett.,2013,23,10,3105,417.42,2.58,116.77,0
CCN1C=C(C=N1)C1=CN=C2NC=C(C(=O)N[C@H](C)C(=O)N3CC(C3)C#N)C2=N1,CHEMBL2376142,CCn1cc(cn1)c2cnc3[nH]cc(C(=O)N[C@H](C)C(=O)N4CC(C4)C#N)c3n2,=,18,nM,O60674,Tyrosine-protein kinase JAK2,23540648,Bioorg. Med. Chem. Lett.,2013,23,9,2793,392.41,0.06,132.58,0
CC(C)NC1=NC=C(C(N)=O)C2=C1C1=C(N2)C=CC(F)=C1,CHEMBL1835018,CC(C)Nc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12,=,100,nM,O60674,Tyrosine-protein kinase JAK2,21942426,J. Med. Chem.,2011,54,20,7334,286.3,2.45,83.8,0
CN1C\C=C\COCC2=CC=C(O2)C2=CC=NC(NC3=CC=CC(C1)=C3)=N2,CHEMBL2035047,CN1C\C=C\COCc2oc(cc2)c3ccnc(Nc4cccc(C1)c4)n3,=,820,nM,O60674,Tyrosine-protein kinase JAK2,22339472,J. Med. Chem.,2012,55,6,2623,362.42,3.71,63.42,0
C[C@H](NC1=CN=CC(NC2=NNC(C)=C2)=N1)C1=NC=C(F)C=N1,CHEMBL570899,C[C@H](Nc1cncc(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3,=,3,nM,O60674,Tyrosine-protein kinase JAK2,20144546,Bioorg. Med. Chem. Lett.,2010,20,5,1669,314.32,1.48,104.3,0
COC1CCN(CC1)C1=NC=CC(NC2=NC=C3C=CN(C4CCCC4)C3=C2)=N1,CHEMBL3354189,COC1CCN(CC1)c2nccc(Nc3cc4c(ccn4C5CCCC5)cn3)n2,=,225,nM,O60674,Tyrosine-protein kinase JAK2,25383627,J. Med. Chem.,2014,57,23,10176,392.5,3.95,68.09,0
CN1CCN(CC1)C(=O)C1=CC2=C(C=C1)C1=C(N2)C(=CC(=C1)C1=CC=C(Cl)C(Cl)=C1)C(N)=O,CHEMBL3622200,CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(cc(cc34)c5ccc(Cl)c(Cl)c5)C(=O)N,=,6.2,nM,O60674,Tyrosine-protein kinase JAK2,26320619,Bioorg. Med. Chem. Lett.,2015,25,19,4265,481.37,4.54,82.43,0
C[C@H](NC1=CC=NC(=N1)N1C=NC2=CN=CC=C12)C1=CC=CC=C1,CHEMBL220585,C[C@H](Nc1ccnc(n1)n2cnc3cnccc23)c4ccccc4,=,51,nM,O60674,Tyrosine-protein kinase JAK2,16934457,Bioorg. Med. Chem. Lett.,2006,16,21,5633,316.36,3.03,68.52,0
CC(C)NC(=O)C1=C2N=C(C=CN2N=C1)N1C[C@@H](O)C[C@@H]1C1=CC=CC(F)=C1,CHEMBL3676082,CC(C)NC(=O)c1cnn2ccc(nc12)N3C[C@@H](O)C[C@@H]3c4cccc(F)c4,=,551,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,383.42,1.93,82.76,0
OC(=O)[C@H]1CC[C@@H](CC1)NC(=O)C1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=CC(F)=CC=C1F,CHEMBL3675911,OC(=O)C1CCC(CC1)NC(=O)c2cnn3ccc(nc23)N4CCCC4c5cc(F)ccc5F,=,23.4,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,469.48,3.54,99.83,0
CC(C)CS(=O)(=O)N1C[C@@H](C)C[C@@H](C1)NC(=O)NC1=CN=C2NC=CC2=N1,CHEMBL3335687,CC(C)CS(=O)(=O)N1C[C@@H](C)C[C@@H](C1)NC(=O)Nc2cnc3[nH]ccc3n2,=,56,nM,O60674,Tyrosine-protein kinase JAK2,25262541,Bioorg. Med. Chem. Lett.,2014,24,21,4969,394.49,1.3,128.45,0
CS(=O)(=O)N1CCC[C@@H](C1)NC1=NC(=NC=C1C1=CN=C2NC=CC2=N1)N1CCOCC1,CHEMBL3335698,CS(=O)(=O)N1CCC[C@@H](C1)Nc2nc(ncc2c3cnc4[nH]ccc4n3)N5CCOCC5,=,102,nM,O60674,Tyrosine-protein kinase JAK2,25262541,Bioorg. Med. Chem. Lett.,2014,24,21,4969,458.54,1.02,137.6,0
FC1=CC2=C3C(=O)N=CC=C3NC(NC3CC3)=C2C=C1,CHEMBL3126339,Fc1ccc2c(NC3CC3)nc4C=CNC(=O)c4c2c1,=,100,nM,O60674,Tyrosine-protein kinase JAK2,24582987,Bioorg. Med. Chem. Lett.,2014,24,6,1466,269.27,1.96,54.02,0
CC1=CC(NC2=NN3C(C=CC=C3C3=CC=CC(=C3)S(C)(=O)=O)=N2)=CC=N1,CHEMBL2414555,Cc1cc(Nc2nc3cccc(c4cccc(c4)S(=O)(=O)C)n3n2)ccn1,=,446,nM,O60674,Tyrosine-protein kinase JAK2,23870430,Bioorg. Med. Chem. Lett.,2013,23,17,5014,379.44,3.3,97.63,0
O[C@H]1CC[C@@H](CC1)NC(=O)C1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=CC=CC(F)=C1,CHEMBL3675913,O[C@@H]1CC[C@H](CC1)NC(=O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cccc(F)c5,=,278,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,423.48,2.91,82.76,0
C[C@H](NC1=NC(NC2=CN(C)C=N2)=C2SC=C(C)C2=N1)C1=NC=C(F)C=N1,CHEMBL3116056,C[C@H](Nc1nc(Nc2cn(C)cn2)c3scc(C)c3n1)c4ncc(F)cn4,=,4,nM,O60674,Tyrosine-protein kinase JAK2,24359159,J. Med. Chem.,2014,57,1,144,384.43,3.26,121.68,0
COC1=CC=C2N=C(N[C@H](C)C3=NC=C(F)C=N3)N=C(NC3=CN(C)C=N3)C2=C1,CHEMBL3116059,COc1ccc2nc(NC(C)c3ncc(F)cn3)nc(Nc4cn(C)cn4)c2c1,=,670,nM,O60674,Tyrosine-protein kinase JAK2,24359159,J. Med. Chem.,2014,57,1,144,394.41,2.81,102.67,0
NC(=O)C1=CC(=CN1C1=CC(=CC=C1Cl)C(F)(F)F)C1=C2C=CNC2=NC=N1,CHEMBL3403549,NC(=O)c1cc(cn1c2cc(ccc2Cl)C(F)(F)F)c3ncnc4[nH]ccc34,=,1,nM,O60674,Tyrosine-protein kinase JAK2,25882525,Bioorg. Med. Chem.,2015,23,10,2387,405.76,4.27,89.59,0
CC(C)(C)NS(=O)(=O)C1=CC=CC(=C1)C1=CC=C2NN=C(N)C2=C1,CHEMBL480998,CC(C)(C)NS(=O)(=O)c1cccc(c1)c2ccc3[nH]nc(N)c3c2,=,3550,nM,O60674,Tyrosine-protein kinase JAK2,19019674,Bioorg. Med. Chem. Lett.,2009,19,1,279,344.43,2.63,109.25,0
CC1=NC2=CN=C3NC=CC3=C2N1C1CCCCC1,CHEMBL2159198,Cc1nc2cnc3[nH]ccc3c2n1C4CCCCC4,=,6000,nM,O60674,Tyrosine-protein kinase JAK2,23265875,Bioorg. Med. Chem. Lett.,2013,23,3,693,254.33,3.01,46.5,0
NC(=O)C1=CC(=NC2=C1NC1=C2C=C(CN2CCOCC2)C=C1)C1=CC=CC(Cl)=C1,CHEMBL3649607,NC(=O)c1cc(nc2c3cc(CN4CCOCC4)ccc3[nH]c12)c5cccc(Cl)c5,=,1,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,420.89,3.98,84.24,0
NC(=O)C1=CC(=NC2=C1NC1=C2C=CC(=C1)N1CCOCC1)C1=CC(CN2CCOCC2)=CO1,CHEMBL3649622,NC(=O)c1cc(nc2c3ccc(cc3[nH]c12)N4CCOCC4)c5occ(CN6CCOCC6)c5,=,6,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,461.51,2.56,109.85,0
CN1CCN(CC1)C1=CC=C(NC2=NC=C3CN(CCC3=N2)C2=CC(NC(=O)CCC(F)(F)F)=CC=C2C)C=C1,CHEMBL3658107,CN1CCN(CC1)c2ccc(Nc3ncc4CN(CCc4n3)c5cc(NC(=O)CCC(F)(F)F)ccc5C)cc2,=,40,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2015,#N/A,#N/A,#N/A,553.62,5.19,76.63,2
CC1=CN=C2NC3=CC=C(OCCN4CCCC4)C(COC\C=C\COCC4=CC=CC(=C4)C1=N2)=C3,CHEMBL2181088,Cc1cnc2Nc3ccc(OCCN4CCCC4)c(COCC=CCOCc5cccc(c5)c1n2)c3,=,7,nM,O60674,Tyrosine-protein kinase JAK2,21604762,J. Med. Chem.,2011,54,13,4638,486.61,5.03,68.74,1
CN(C)C1=CC=C(\C=C(/C)[N+]([O-])=O)C=C1,CHEMBL1299997,CN(C)c1ccc(\C=C(/C)\[N+](=O)[O-])cc1,=,3498,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,206.24,2.49,49.06,0
CCCCN1C(=N)N(CC(=O)C2=CC=C(Br)S2)C2=CC=CC=C12,CHEMBL1306583,Br.CCCCN1C(=N)N(CC(=O)c2ccc(Br)s2)c3ccccc13,=,4365,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,392.31,4.27,75.64,0
CN1CCC(CC1)NC(=O)C1=CC=C(NC2=NC=C3CN(CCC3=N2)C2=CC(NC(=O)C3=CC=CC(=C3)C(F)(F)F)=CC=C2C)C=N1,CHEMBL3658111,CN1CCC(CC1)NC(=O)c2ccc(Nc3ncc4CN(CCc4n3)c5cc(NC(=O)c6cccc(c6)C(F)(F)F)ccc5C)cn2,=,5,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2015,#N/A,#N/A,#N/A,644.69,4.89,115.38,1
CC(C)NC(=O)C1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=CC(F)=CN(C)C1=O,CHEMBL3676089,CC(C)NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3C4=CC(=CN(C)C4=O)F,=,445.8,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,398.43,0.73,82.84,0
CN(CC#N)C(=O)C1=CC=C(C=C1)C1=CC=NC(NC2=CC=C(C=C2)N2CCOCC2)=N1,CHEMBL1078370,CN(CC#N)C(=O)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,=,298,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,428.49,3.06,94.38,0
C[C@H](NC1=NC(NC2=CN(C)C=N2)=C2C=CN(C)C2=N1)C1=NC=C(F)C=N1,CHEMBL3116051,C[C@H](Nc1nc(Nc2cn(C)cn2)c3ccn(C)c3n1)c4ncc(F)cn4,=,27,nM,O60674,Tyrosine-protein kinase JAK2,24359159,J. Med. Chem.,2014,57,1,144,367.38,2.18,98.37,0
CC(C)(C)NC(=O)C1=CC=C(C=C1)C1=CC=C2NN=C(N)C2=C1,CHEMBL447670,CC(C)(C)NC(=O)c1ccc(cc1)c2ccc3[nH]nc(N)c3c2,=,1950,nM,O60674,Tyrosine-protein kinase JAK2,19019674,Bioorg. Med. Chem. Lett.,2009,19,1,279,308.38,2.92,83.8,0
NC1=NNC2=CC=C(Br)C=C12,CHEMBL465091,Nc1n[nH]c2ccc(Br)cc12,=,40900,nM,O60674,Tyrosine-protein kinase JAK2,19019674,Bioorg. Med. Chem. Lett.,2009,19,1,279,212.05,2.01,54.7,0
NC(=O)C1=CC(=NC2=C1NC1=C2C=CC(=C1)C(=O)N1CCOCC1)C1=CON=C1,CHEMBL3649635,NC(=O)c1cc(nc2c3ccc(cc3[nH]c12)C(=O)N4CCOCC4)c5conc5,=,112,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,391.38,1.11,127.34,0
CNC1=C2N=CN(C)C2=C2C=C(N(C[C@H](O)CO)C2=N1)C(=O)N(C)C1CC1,CHEMBL3622141,CNc1nc2c(cc(C(=O)N(C)C3CC3)n2C[C@H](O)CO)c4c1ncn4C,=,450,nM,O60674,Tyrosine-protein kinase JAK2,26288682,ACS Med. Chem. Lett.,2015,6,8,845,372.42,0.59,108.44,0
COC1=CC(\C=C2/COC\C(=C/C3=CC=C(O)C(OC)=C3)C2=O)=CC=C1O,CHEMBL1411125,COc1cc(\C=C\2/COC\C(=C/c3ccc(O)c(OC)c3)\C2=O)ccc1O,=,3615,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,368.38,3.12,85.22,0
NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,CHEMBL585,Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,=,4613,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,253.26,1.02,129.62,0
C1CCC(CC1)C1=NN=C2C=NC3=C(C=CN3)N12,CHEMBL2322141,C1CCC(CC1)c2nnc3cnc4[nH]ccc4n23,=,90,nM,O60674,Tyrosine-protein kinase JAK2,23265875,Bioorg. Med. Chem. Lett.,2013,23,3,693,241.29,2.48,58.87,0
CC(C)CN1C=C(C=N1)C1=CC=CN2N=C(NC3=CC=C(C=C3)C(O)=O)N=C12,CHEMBL2414538,CC(C)Cn1cc(cn1)c2cccn3nc(Nc4ccc(cc4)C(=O)O)nc23,=,156,nM,O60674,Tyrosine-protein kinase JAK2,23870430,Bioorg. Med. Chem. Lett.,2013,23,17,5014,376.41,3.69,97.34,0
CC(C)C1=CC=CC(=C1)C1=CC=CC2=NC(NC3=CC(C)=CC=N3)=NN12,CHEMBL2414550,CC(C)c1cccc(c1)c2cccc3nc(Nc4cc(C)ccn4)nn23,=,1400,nM,O60674,Tyrosine-protein kinase JAK2,23870430,Bioorg. Med. Chem. Lett.,2013,23,17,5014,343.42,5.71,55.11,1
C[C@@H]1CCCC[C@@H]1N1C(=O)NC2=CN=C3NC=CC3=C12,CHEMBL3593579,C[C@@H]1CCCC[C@@H]1N2C(=O)Nc3cnc4[nH]ccc4c23,=,4.4,nM,O60674,Tyrosine-protein kinase JAK2,26059596,Bioorg. Med. Chem.,2015,23,15,4846,270.33,2.42,61.02,0
COC1=CC(=CC(OC)=C1OC)C1=CN=C2C=C(F)C=C(C3=CC=C(CC(=O)N4CCOCC4)C=C3)C2=N1,CHEMBL1091191,COc1cc(cc(OC)c1OC)c2cnc3cc(F)cc(c4ccc(CC(=O)N5CCOCC5)cc4)c3n2,=,101,nM,O60674,Tyrosine-protein kinase JAK2,20231096,Bioorg. Med. Chem. Lett.,2010,20,8,2609,517.55,4.05,83.01,1
C[C@H](NC1=CC(=NC(=N1)N1C=NC2=CC=NC=C12)C1=CC=CC(=C1)C#N)C1=CC=CC=C1,CHEMBL220969,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4cccc(c4)C#N)c5ccccc5,=,56,nM,O60674,Tyrosine-protein kinase JAK2,16934457,Bioorg. Med. Chem. Lett.,2006,16,21,5633,417.47,4.85,92.31,0
O=C(C=C=NC1=CC=CC=C1)C(=O)N=C=CC1=CC=CC=C1,CHEMBL1502358,O=C(C=C=Nc1ccccc1)C(=O)N=C=Cc2ccccc2,=,10680,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,288.3,3.84,58.86,0
CC1=CC=C(Cl)C=C1C1=C(C=C(N1)C1=CC=NC(N)=N1)C(=O)NCCO,CHEMBL3329229,Cc1ccc(Cl)cc1c2[nH]c(cc2C(=O)NCCO)c3ccnc(N)n3,=,57,nM,O60674,Tyrosine-protein kinase JAK2,25009002,Bioorg. Med. Chem.,2014,22,17,4998,371.82,2.79,116.92,0
N#CC1=CC=C(C=C1)C1=CN=C2C=CC(NCC3=CC=CC=C3)=NN12,CHEMBL3582427,N#Cc1ccc(cc1)c2cnc3ccc(NCc4ccccc4)nn23,=,4700,nM,O60674,Tyrosine-protein kinase JAK2,26005534,ACS Med. Chem. Lett.,2015,6,5,562,325.37,3.86,66,0
NC(=O)C1=CC=C(C=C1)C1=CC=NC(NC2=CC=C(C=C2)N2CCOCC2)=N1,CHEMBL1080395,NC(=O)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,=,326,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,375.42,2.92,93.36,0
O=C(NCC#N)C1=CC=C(C=C1)C1=CC=NC(NC2=CC=C(CN3CCS(=O)(=O)CC3)C=C2)=N1,CHEMBL1077842,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2,=,52,nM,O60674,Tyrosine-protein kinase JAK2,19762238,Bioorg. Med. Chem. Lett.,2009,19,20,5887,476.55,2.5,136.45,0
COC1=CC(NC2=NN3C(=CC=C3C3=CC=CC=C3)C=N2)=CC(OC)=C1OC,CHEMBL1822511,COc1cc(Nc2ncc3ccc(c4ccccc4)n3n2)cc(OC)c1OC,=,0.2,nM,O60674,Tyrosine-protein kinase JAK2,22169263,Bioorg. Med. Chem. Lett.,2012,22,1,133,376.41,4.4,69.91,0
C[C@H](NC1=C(C=C2C(=O)N=CC=C2N1)C1=CC=C(F)C=C1)C1=CC(F)=C(Cl)C=C1Cl,CHEMBL1290090,CC(Nc1nc2C=CNC(=O)c2cc1c3ccc(F)cc3)c4cc(F)c(Cl)cc4Cl,=,3940,nM,O60674,Tyrosine-protein kinase JAK2,21044843,Bioorg. Med. Chem. Lett.,2010,20,24,7421,446.28,5.57,54.02,1
COCCOC1=CC=C2NC3=NC=CC(=N3)C3=CC=C(COC\C=C\CN(C)CC1=C2)O3,CHEMBL2035056,COCCOc1ccc2Nc3nccc(n3)c4oc(COC\C=C\CN(C)Cc1c2)cc4,=,1100,nM,O60674,Tyrosine-protein kinase JAK2,22339472,J. Med. Chem.,2012,55,6,2623,436.5,3.56,81.88,0
CN(C)C1=CC=C(C=N1)C1=NC2=C(NC3=C2C=CC(=C3)N2CCOCC2)C(=C1)C(N)=O,CHEMBL3649646,CN(C)c1ccc(cn1)c2cc(C(=O)N)c3[nH]c4cc(ccc4c3n2)N5CCOCC5,=,1,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,416.48,2.95,100.37,0
COC1=CC=C(Cl)C=C1C1=NN(C)C=C1NC(=O)C1=C2N=CC=CN2N=C1,CHEMBL2178801,COc1ccc(Cl)cc1c2nn(C)cc2NC(=O)c3cnn4cccnc34,=,22.4,nM,O60674,Tyrosine-protein kinase JAK2,23061660,J. Med. Chem.,2012,55,22,10090,382.8,2.13,86.34,0
COC1=CC(=CC=C1NC1=NN2C(=CC=C2C2=CC=CC=C2OC)C=N1)C1CCN(CC(N)=O)CC1,CHEMBL1934334,COc1ccccc1c2ccc3cnc(Nc4ccc(cc4OC)C5CCN(CC(=O)N)CC5)nn23,=,250,nM,O60674,Tyrosine-protein kinase JAK2,22169263,Bioorg. Med. Chem. Lett.,2012,22,1,133,486.57,3.96,107.01,0
CC1=CC=C(Cl)C=C1N1C=C(C=C1C(N)=O)C1=CC(N)=NC=N1,CHEMBL3403539,Cc1ccc(Cl)cc1n2cc(cc2C(=O)N)c3cc(N)ncn3,=,73,nM,O60674,Tyrosine-protein kinase JAK2,25882525,Bioorg. Med. Chem.,2015,23,10,2387,327.77,3.11,99.82,0
CC(C)CNC1=NC=C(C(N)=O)C2=C1C1=C(N2)C=CC(F)=C1,CHEMBL1835019,CC(C)CNc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12,=,74,nM,O60674,Tyrosine-protein kinase JAK2,21942426,J. Med. Chem.,2011,54,20,7334,300.33,2.92,83.8,0
COC1=CC=CC=C1C1=CC=C2C=NC(NC3=CC=C(C=C3)N3CCN(C[C@H](C)O)CC3)=NN12,CHEMBL1923574,COc1ccccc1c2ccc3cnc(Nc4ccc(cc4)N5CCN(C[C@H](C)O)CC5)nn23,=,0.47,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,458.56,4.39,78.16,0
CN1CCN(CC1)C1=CC=C(C=C1)C1=CC=C2NN=C(N)C2=C1,CHEMBL519279,CN1CCN(CC1)c2ccc(cc2)c3ccc4[nH]nc(N)c4c3,=,8580,nM,O60674,Tyrosine-protein kinase JAK2,19019674,Bioorg. Med. Chem. Lett.,2009,19,1,279,307.39,2.9,61.18,0
CN(C1=CC=CC=C1C1=CC=C2C=NC(NC3=CC=C(C=C3Cl)N3CCN(C)CC3)=NN12)S(C)(=O)=O,CHEMBL1923591,CN(c1ccccc1c2ccc3cnc(Nc4ccc(cc4Cl)N5CCN(C)CC5)nn23)S(=O)(=O)C,=,480,nM,O60674,Tyrosine-protein kinase JAK2,22041060,Bioorg. Med. Chem. Lett.,2011,21,24,7325,526.05,4.35,94.46,1
N#CCN1C\C=C\CCOC2=CC=CC(=C2)C2=CC=NC(NC3=CC=C(OCCN4CCCC4)C(C1)=C3)=N2,CHEMBL1945823,N#CCN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(OCCN5CCCC5)c(C1)c4)n3,=,150,nM,O60674,Tyrosine-protein kinase JAK2,22148278,J. Med. Chem.,2012,55,1,169,510.63,5.05,86.54,2
C[C@H](NC1=NC(NC2=NNC(C)=C2)=CN=C1C#N)C1=NC=C(F)C=N1,CHEMBL570002,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cnc1C#N)c3ncc(F)cn3,=,6,nM,O60674,Tyrosine-protein kinase JAK2,19857966,Bioorg. Med. Chem. Lett.,2009,19,23,6524,339.33,1.78,128.09,0
ONC(=O)CCCCCCN1C\C=C\COCC2=CC=CC(=C2)C2=CC=NC(NC3=CC=CC(C1)=C3)=N2,CHEMBL3414599,ONC(=O)CCCCCCN1C\C=C\COCc2cccc(c2)c3ccnc(Nc4cccc(C1)c4)n3,=,613,nM,O60674,Tyrosine-protein kinase JAK2,25800646,Eur. J. Med. Chem.,2015,95,#N/A,104,501.62,5.04,99.61,2
CN1C=C(NC(=O)C2=C3N=CC=CN3N=C2)C(=N1)C1=CC(Cl)=CC=C1C,CHEMBL2178800,Cc1ccc(Cl)cc1c2nn(C)cc2NC(=O)c3cnn4cccnc34,=,34.5,nM,O60674,Tyrosine-protein kinase JAK2,23061660,J. Med. Chem.,2012,55,22,10090,366.8,2.64,77.11,0
C[C@H](NC1=CC(=NC(=N1)N1C=NC2=CC=NC=C12)C1=CC=C(C=C1)N(C)C)C1=CC=CC=C1,CHEMBL384820,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4ccc(cc4)N(C)C)c5ccccc5,=,20,nM,O60674,Tyrosine-protein kinase JAK2,16934457,Bioorg. Med. Chem. Lett.,2006,16,21,5633,435.52,5.14,71.76,1
CN1CCN(CC1)C1=CC(NC2=CC=CC=C2Cl)=NC(=N1)N1C=NC2=CC=NC=C12,CHEMBL376885,CN1CCN(CC1)c2cc(Nc3ccccc3Cl)nc(n2)n4cnc5ccncc45,=,113,nM,O60674,Tyrosine-protein kinase JAK2,16934457,Bioorg. Med. Chem. Lett.,2006,16,21,5633,420.9,4.13,75,0
CN1C\C=C\CCOC2=CC=CC(=C2)C2=CC=NC(NC3=CC=C(OCCN4CCCCC4)C(C1)=C3)=N2,CHEMBL1945707,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(OCCN5CCCCC5)c(C1)c4)n3,=,62,nM,O60674,Tyrosine-protein kinase JAK2,22148278,J. Med. Chem.,2012,55,1,169,499.65,5.77,62.75,1
COC[C@H](C)NC1=C2C=C(N(C)C2=NC(=N1)N1C=NC2=CC=NC=C12)C(=O)N1CCN(C)CC1,CHEMBL231949,COC[C@H](C)Nc1nc(nc2c1cc(C(=O)N3CCN(C)CC3)n2C)n4cnc5ccncc45,=,222,nM,O60674,Tyrosine-protein kinase JAK2,17189692,Bioorg. Med. Chem. Lett.,2007,17,5,1250,463.54,1.68,106.23,0
NC1=NNC2=CC(Br)=CC=C12,CHEMBL501406,Nc1n[nH]c2cc(Br)ccc12,=,131000,nM,O60674,Tyrosine-protein kinase JAK2,19019674,Bioorg. Med. Chem. Lett.,2009,19,1,279,212.05,2.01,54.7,0
OC1=CC=C(C=C1)[C@@H]1C2=CNC3=NC=CC(=C23)C2=CC=CC=C2NC1=O,CHEMBL584052,Oc1ccc(cc1)C2C(=O)Nc3ccccc3c4ccnc5[nH]cc2c45,=,270,nM,O60674,Tyrosine-protein kinase JAK2,20014869,J. Med. Chem.,2009,52,24,7938,341.36,2.93,78.01,0
FC1=CC2=C3C(=O)N=CC=C3NC(NC[C@@H]3CCS(=O)(=O)C3)=C2C=C1,CHEMBL1290423,Fc1ccc2c(NCC3CCS(=O)(=O)C3)nc4C=CNC(=O)c4c2c1,=,512,nM,O60674,Tyrosine-protein kinase JAK2,21044843,Bioorg. Med. Chem. Lett.,2010,20,24,7421,361.39,1.16,96.54,0
NC1CCN(CC1)C1=NC2=C(NC3=C2C=CC(=C3)C(=O)N2CCOCC2)C(=C1)C(N)=O,CHEMBL3649627,NC1CCN(CC1)c2cc(C(=O)N)c3[nH]c4cc(ccc4c3n2)C(=O)N5CCOCC5,=,636,nM,O60674,Tyrosine-protein kinase JAK2,#N/A,#N/A,2014,#N/A,#N/A,#N/A,422.48,0.55,130.57,0
CN1C=C2C(C=CC=C2NC2=C3C(=O)NC=CC3=CC(N[C@@H]3CCOC[C@@H]3N)=N2)=N1,CHEMBL3262622,Cn1cc2c(Nc3nc(N[C@@H]4CCOC[C@@H]4N)cc5C=CNC(=O)c35)cccc2n1,=,1500,nM,O60674,Tyrosine-protein kinase JAK2,24726806,Bioorg. Med. Chem. Lett.,2014,24,10,2278,405.45,0.98,119.12,0
